text,actual_label,predicted_label,sentiment_score
bmri kin kalo lu lihat pagi nyentuh anjir mau ngejar bbri cok,netral,negatif,-0.7416847251272436
sentimen negatif danantara tekan sahamsaham bumn saham bbri jatuh level rendah tahun akhir bijak perintah bikin takut investor main aman tak mau ambil risiko maklum urus danantara jejak gelap,negatif,negatif,-0.7380830070873153
bbri bulan januari profit turun mending cl gue avg enggak kuat,negatif,negatif,-0.9216291306693853
siapa mau jadi pacar aku bbri aku lembar saham merah cokk bbri wkwkwkwkwk bbca aadi adro kamu tinggal pilih hadiah anniv,negatif,negatif,-0.5234800073738285
bbri bankbank lain enggak ada harga diri anjir wkwkwk,negatif,negatif,-0.8489373328713048
lu mah mending gue nabung tiap bulan kubeliin saham bbri malah turun terus saham ngentod,negatif,negatif,-0.7979773041427517
akumulasi tanggal feb,netral,netral,0.0
apa bbri dik,netral,netral,0.0
we belik kalian bbri,negatif,negatif,-0.275920107908289
bbri bmri bang,netral,netral,0.0
bagaimana ihsg hari serok bmri bbri ngumpulin modal buat beli wah keburu naik wkwkwkwkw,positif,positif,0.5416245882402823
bank bumn hari bris bbri bbni bmri,negatif,netral,0.0
waduh apa saham indonesia amerika kripto anjlok semua mengsedih bakal lebih parah pakar,negatif,negatif,-0.6832292683745952
pas kali tutup bbri tebak gua besok mau genting ach tebak genap ganjil,netral,negatif,-0.614371778606033
ketidakpastian sangat tingkat periode awal perintah baru makanya orang takut wkwk lebih percaya bbri bbca orisinal walaupun beda banget sih wkwkwk,positif,negatif,-0.6337072450566031
positif naik sih bbri banyak cuannya,positif,positif,0.7439489651041762
big bang bbni bmri bbri whoahh discount,positif,netral,0.0
punya shm bbri menang pojok lebih dekat,negatif,negatif,-0.8303302547851528
bulan saham bbri koreksi indeks alami down trend tak buat apaapa semua jelas,negatif,negatif,-0.7183801422003329
saham bbri diomongin negatif fundamental tetap stabil bisnis tetap cuan,positif,positif,0.9696494540750863
apa kabar hari,netral,netral,0.0
bbri cuman lot gede gaji gue mah wkwkwkwkwk,negatif,positif,0.465986740771527
saat banyak saham bagus beli bbri wkwk,negatif,negatif,-0.2485503641902398
bbri nih gue tengsin anjlok ribu,negatif,negatif,-0.7636398103296523
asa enggak bbri doang bank lesu,negatif,negatif,-0.3609645751651765
kalo nilai sekarang ltjuta turun punya bbri,negatif,negatif,-0.6016635538887459
orang dewa bbri banget deviden kali taun,negatif,negatif,-0.2694172480603819
ihsg bbca bbri bilang judol lah danantara mau bilang apa kasino,negatif,netral,0.0
